"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P39688","Fyn","Fyn","7","1.577","0.147","10.73","7.36e-27","9.20e-25"
"Q01279","EGFR","Egfr","4","1.768","0.201","8.796","1.42e-18","8.85e-17"
"P05480","Src iso1","Src","13","1.32","0.161","8.219","2.05e-16","8.53e-15"
"P15208","INSR","Insr","2","1.136","0.16","7.099","1.26e-12","3.92e-11"
"Q9WUI1","P38B","Mapk11","4","0.383","0.106","3.599","0.000319","0.00797"
"Q07832","PLK1","Plk1","7","-0.639","0.185","-3.458","0.000545","0.0114"
"P43404","ZAP70","Zap70","3","0.371","0.129","2.876","0.00403","0.0560"
"P48025","Syk","Syk","3","0.371","0.129","2.876","0.00403","0.0560"
"Q00342","FLT3","Flt3","3","0.371","0.129","2.876","0.00403","0.0560"
"Q923T9","CAMK2G","Camk2g","1","0.264","0.116","2.278","0.0228","0.259"
"Q9R0T8","IKKE","Ikbke","1","0.264","0.116","2.278","0.0228","0.259"
"P63318","PKCG","Prkcg","2","0.804","0.375","2.142","0.0322","0.336"
"Q8R3L8","CDK8","Cdk8","2","0.176","0.084","2.108","0.0350","0.337"
"P97377","CDK2","Cdk2","26","-0.207","0.104","-1.981","0.0476","0.425"
"Q63844","ERK1","Mapk3","42","0.132","0.071","1.844","0.0652","0.543"
"Q9Z2A0","PDK1","Pdpk1","7","0.274","0.158","1.735","0.0827","0.646"
"P34152","FAK iso2","Ptk2","3","0.294","0.18","1.635","0.102","0.750"
"Q9Z0H0","CDC7","Cdc7","5","-0.304","0.199","-1.526","0.127","0.882"
"Q8VEB1","GRK5","Grk5","1","0.679","0.454","1.498","0.134","0.882"
"P47811","P38A","Mapk14","22","0.127","0.093","1.354","0.176","0.983"
"Q91Y86","JNK1","Mapk8","7","0.141","0.107","1.317","0.188","0.983"
"P23298","PKCH","Prkch","1","0.124","0.095","1.31","0.190","0.983"
"Q03147","CDK7","Cdk7","7","-0.238","0.182","-1.31","0.190","0.983"
"Q8CFH6","QIK","Sik2","1","0.675","0.532","1.268","0.205","0.983"
"P14234","FGR","Fgr","1","0.335","0.271","1.236","0.216","0.983"
"P41241","CSK","Csk","1","0.335","0.271","1.236","0.216","0.983"
"Q03145","EphA2","Epha2","2","0.398","0.324","1.227","0.220","0.983"
"P49138","MAPKAPK2","Mapkapk2","3","0.294","0.245","1.201","0.230","0.983"
"Q9JLN9","mTOR","Mtor","30","-0.112","0.097","-1.165","0.244","0.983"
"O55222","ILK","Ilk","3","0.178","0.157","1.135","0.256","0.983"
"Q60823","Akt2","Akt2","7","0.13","0.117","1.112","0.266","0.983"
"Q9WUA6","Akt3","Akt3","4","0.121","0.113","1.075","0.282","0.983"
"P58750","Pim3","Pim3","1","0.103","0.096","1.075","0.282","0.983"
"P68181","PKACB","Prkacb","1","0.103","0.096","1.075","0.282","0.983"
"Q62074","PKCI","Prkci","1","0.103","0.096","1.075","0.282","0.983"
"Q60670","SIK","Sik1","2","0.417","0.397","1.048","0.294","0.983"
"O70126","AurB","Aurkb","4","-0.182","0.181","-1.008","0.313","0.983"
"Q8BK63","CK1A","Csnk1a1","2","-0.318","0.316","-1.005","0.315","0.983"
"Q62101","PRKD1","Prkd1","2","0.267","0.27","0.989","0.323","0.983"
"Q8BRK8","AMPKA2","Prkaa2","3","0.227","0.231","0.98","0.327","0.983"
"Q9WVC6","SGK1","Sgk1","4","0.229","0.235","0.971","0.331","0.983"
"O54949","NLK","Nlk","1","0.088","0.093","0.954","0.340","0.983"
"Q62406","IRAK1","Irak1","1","0.088","0.093","0.954","0.340","0.983"
"P70336","ROCK2","Rock2","2","0.155","0.173","0.898","0.369","0.983"
"P70335","ROCK1","Rock1","6","0.124","0.139","0.891","0.373","0.983"
"P06240","Lck","Lck","2","0.118","0.135","0.874","0.382","0.983"
"Q6ZQ29","TAO2","Taok2","1","0.481","0.552","0.871","0.384","0.983"
"Q9JMK2","CK1E","Csnk1e","1","0.292","0.346","0.845","0.398","0.983"
"P18653","p90RSK","Rps6ka1","16","0.086","0.105","0.821","0.412","0.983"
"Q80YE7","DAPK1","Dapk1","2","0.116","0.142","0.815","0.415","0.983"
"Q9WVS8","ERK5","Mapk7","1","0.21","0.258","0.813","0.416","0.983"
"P11440","CDK1","Cdk1","45","-0.069","0.088","-0.788","0.431","0.983"
"P31750","Akt1","Akt1","22","0.069","0.089","0.778","0.437","0.983"
"Q5EG47","AMPKA1","Prkaa1","11","0.108","0.14","0.775","0.439","0.983"
"O55098","LOK","Stk10","1","0.185","0.245","0.755","0.450","0.983"
"Q8C050","MSK1","Rps6ka5","8","0.078","0.104","0.753","0.452","0.983"
"P06803","Pim1","Pim1","2","0.079","0.109","0.724","0.469","0.983"
"P08414","CAMK4","Camk4","1","-0.192","0.268","-0.718","0.473","0.983"
"O70405","ULK1","Ulk1","1","0.68","1","0.68","0.496","0.983"
"P30285","CDK4","Cdk4","6","-0.11","0.186","-0.59","0.555","0.983"
"Q9Z1M4","P70S6KB","Rps6kb2","2","0.085","0.146","0.584","0.559","0.983"
"P00536","MOS","Mos","1","0.111","0.19","0.583","0.560","0.983"
"Q07174","Cot","Map3k8","1","0.111","0.19","0.583","0.560","0.983"
"Q99N57","RAF1","Raf1","1","0.111","0.19","0.583","0.560","0.983"
"Q61846","MELK","Melk","2","-0.21","0.368","-0.572","0.567","0.983"
"Q60700","DLK","Map3k12","1","0.106","0.186","0.572","0.567","0.983"
"P49615","CDK5","Cdk5","10","0.083","0.15","0.554","0.580","0.983"
"P11798","CAMK2A","Camk2a","5","0.089","0.162","0.549","0.583","0.983"
"O08911","P38G","Mapk12","2","-0.089","0.164","-0.543","0.587","0.983"
"P05132","PKACA","Prkaca","48","0.042","0.083","0.507","0.612","0.983"
"Q5U4C9","DYRK2","Dyrk2","4","-0.121","0.245","-0.495","0.621","0.983"
"P16054","PKCE","Prkce","9","-0.069","0.142","-0.486","0.627","0.983"
"Q2NL51","GSK3A","Gsk3a","6","0.085","0.179","0.477","0.634","0.983"
"Q99KH8","MST3","Stk24","1","0.242","0.517","0.469","0.639","0.983"
"P47810","Wee1","Wee1","1","-0.099","0.212","-0.467","0.641","0.983"
"P70424","HER2","Erbb2","1","-0.099","0.212","-0.467","0.641","0.983"
"Q66JT0","WEE1B","Wee2","1","-0.099","0.212","-0.467","0.641","0.983"
"Q91VJ4","NDR1","Stk38","2","0.171","0.371","0.46","0.645","0.983"
"P53349","MEKK1","Map3k1","3","0.055","0.119","0.459","0.646","0.983"
"P63085","ERK2","Mapk1","71","0.031","0.068","0.453","0.651","0.983"
"Q02956","PKCZ","Prkcz","5","-0.051","0.114","-0.452","0.651","0.983"
"Q9WTU6","JNK2","Mapk9","7","0.043","0.096","0.448","0.654","0.983"
"Q9WV60","GSK3B","Gsk3b","11","0.057","0.132","0.431","0.667","0.983"
"Q8VHJ5","MARK1","Mark1","3","-0.141","0.341","-0.413","0.679","0.983"
"Q8BTW9","PAK4","Pak4","3","0.103","0.271","0.381","0.703","0.983"
"Q6PHZ2","CAMK2D","Camk2d","1","0.132","0.346","0.38","0.704","0.983"
"Q8BSK8","p70S6K","Rps6kb1","10","0.042","0.111","0.378","0.705","0.983"
"Q8BG48","DRAK2","Stk17b","1","0.194","0.517","0.374","0.708","0.983"
"P28867","PKCD","Prkcd","15","0.029","0.079","0.369","0.712","0.983"
"O08605","Mnk1","Mknk1","1","0.128","0.349","0.367","0.713","0.983"
"P70268","PKN1","Pkn1","4","0.047","0.13","0.36","0.719","0.983"
"O88643","PAK1","Pak1","10","0.036","0.109","0.331","0.741","0.983"
"Q9WUN2","TBK1","Tbk1","2","0.087","0.264","0.33","0.742","0.983"
"Q61083","MEKK2","Map3k2","1","0.081","0.25","0.325","0.745","0.983"
"Q99MK8","GRK2","Adrbk1","3","0.153","0.479","0.32","0.749","0.983"
"Q62388","ATM","Atm","3","-0.154","0.504","-0.306","0.759","0.983"
"O54784","DAPK3","Dapk3","3","0.059","0.203","0.293","0.770","0.983"
"O54992","MAPKAPK5","Mapkapk5","2","-0.09","0.318","-0.282","0.778","0.983"
"Q923J1","ChaK1","Trpm7","1","-0.155","0.553","-0.281","0.779","0.983"
"P83741","WNK1","Wnk1","1","-0.145","0.561","-0.258","0.796","0.989"
"Q05512","MARK2","Mark2","1","0.233","1","0.233","0.816","0.989"
"Q9Z1W9","STLK3","Stk39","1","0.106","0.52","0.204","0.838","0.989"
"Q9JKK8","ATR","Atr","3","-0.085","0.428","-0.199","0.842","0.989"
"Q8BYR2","LATS1","Lats1","1","0.083","0.52","0.159","0.873","0.989"
"P18654","RSK2","Rps6ka3","3","-0.026","0.176","-0.145","0.885","0.989"
"P35546","Ret","Ret","1","0.03","0.211","0.14","0.889","0.989"
"Q8CIN4","PAK2","Pak2","7","0.018","0.145","0.122","0.903","0.989"
"P31938","MEK1","Map2k1","3","-0.021","0.181","-0.113","0.910","0.989"
"Q8C0P0","MASTL","Mastl","1","0.061","0.537","0.113","0.910","0.989"
"Q60737","CK2A1","Csnk2a1","50","-0.012","0.111","-0.112","0.911","0.989"
"Q64261","CDK6","Cdk6","4","-0.013","0.136","-0.094","0.925","0.989"
"Q02111","PKCT","Prkcq","3","0.01","0.129","0.076","0.939","0.989"
"P97477","AurA","Aurka","1","-0.019","0.259","-0.073","0.942","0.989"
"P00520","Abl","Abl1","4","0.014","0.198","0.072","0.943","0.989"
"P67871","CK2B","Csnk2b","2","0.016","0.247","0.066","0.947","0.989"
"Q61831","JNK3","Mapk10","4","-0.007","0.116","-0.061","0.951","0.989"
"P20444","PKCA","Prkca","25","-0.007","0.117","-0.056","0.955","0.989"
"Q61214","DYRK1A","Dyrk1a","4","-0.015","0.269","-0.056","0.955","0.989"
"Q9QZR5","HIPK2","Hipk2","5","0.009","0.177","0.053","0.958","0.989"
"Q9Z188","DYRK1B","Dyrk1b","1","0.008","0.157","0.048","0.962","0.989"
"P68404","PKCB iso2","Prkcb","9","0.005","0.108","0.044","0.965","0.989"
"O88351","IKKB","Ikbkb","1","0.014","0.507","0.027","0.979","0.989"
"P0C605","PKG1 iso2","Prkg1","1","-0.008","0.523","-0.016","0.987","0.989"
"Q61410","PKG2","Prkg2","1","-0.008","0.523","-0.016","0.987","0.989"
"Q60680","IKKA","Chuk","3","0.005","0.377","0.014","0.989","0.989"